ID	問題	画像	選択肢1	選択肢2	選択肢3	選択肢4	選択肢5	選択肢6	選択肢7	正解番号	解説
V041	"実際よりもおおげさに表現すること"	""	"自慢"	"虚栄"	"誇張"	"拡大"	"膨張"	""	""	3	"事実より大きく表現するのが誇張です。"
V042	"つじつまが合わないこと"	""	"迂回"	"矛盾"	"逆説"	"複雑"	"弁明"	""	""	2	"前後のつじつまが合わないのが矛盾です。"
V043	"よく理解して自分のものとすること"	""	"獲得"	"会得"	"受領"	"納得"	"自前"	""	""	2	"技術や知識を自分のものにするのが会得です。"
V044	"方法"	""	"工夫"	"戦略"	"達成"	"手段"	"解決"	""	""	4	"やり方は手段と言い換えられます。"
V045	"妥協"	""	"協力"	"譲歩"	"妥当"	"融和"	"終結"	""	""	2	"互いに譲り合うのが譲歩（妥協）です。"
V046	"横柄"	""	"権力"	"横行"	"権勢"	"横着"	"尊大"	""	""	5	"威張っている様子が尊大（横柄）です。"
V047	"実践"	""	"研究"	"挑戦"	"空想"	"命令"	"理論"	""	""	5	"理論に対するのが実践です（対義語）。"
V048	"撤退"	""	"進出"	"出発"	"進行"	"開店"	"入場"	""	""	1	"退くのに対し、入り込むのが進出です（対義語）。"
V049	"感情"	""	"理屈"	"沈着"	"議論"	"理性"	"冷静"	""	""	4	"心で感じるのに対し、頭で制御するのが理性です。"
V050	"なし：果物\nア 乗り物：オートバイ\nイ バス：運送\nウ 柔道：格闘技"	""	"アだけ"	"イだけ"	"ウだけ"	"アとイ"	"アとウ"	"イとウ"	"アとイとウ"	3	"「なし」は「果物」の一種です。ウの「柔道」は「格闘技」の一種です。"
V051	"のり：接着\nア 鉛筆：筆記\nイ スマートフォン：通信\nウ 消しゴム：文房具"	""	"アだけ"	"イだけ"	"ウだけ"	"アとイ"	"アとウ"	"イとウ"	"アとイとウ"	4	"「のり」は「接着」するための道具です。アとイが用途の関係です。"
V052	"板前：調理\nア 俳優：演技\nイ 指導：コーチ\nウ 大工：建築"	""	"アだけ"	"イだけ"	"ウだけ"	"アとイ"	"アとウ"	"イとウ"	"アとイとウ"	5	"「板前」は「調理」を職業とする人です。アとウが同様の関係です。"
V053	"うどん：小麦粉\nア 木綿：手ぬぐい\nイ 豆腐：大豆\nウ 自転車：乗り物"	""	"アだけ"	"イだけ"	"ウだけ"	"アとイ"	"アとウ"	"イとウ"	"アとイとウ"	2	"「うどん」の原料は「小麦粉」です。「豆腐」の原料は「大豆」です。"
V054	"過激：穏健\nア 信頼：信用\nイ 建設：破壊\nウ 分散：集中"	""	"アだけ"	"イだけ"	"ウだけ"	"アとイ"	"アとウ"	"イとウ"	"アとイとウ"	6	"「過激」と「穏健」は対義語です。イとウが対義語の関係です。"
V055	"欠点：短所\nア 困難：容易\nイ 方法：手段\nウ 勤勉：怠惰"	""	"アだけ"	"イだけ"	"ウだけ"	"アとイ"	"アとウ"	"イとウ"	"アとイとウ"	2	"「欠点」と「短所」は類義語です。イが類義語の関係です。"
V056	"お茶：ジュース\nア 猫：哺乳類\nイ りんご：みかん\nウ せっけん：洗浄"	""	"アだけ"	"イだけ"	"ウだけ"	"アとイ"	"アとウ"	"イとウ"	"アとイとウ"	2	"「お茶」と「ジュース」は飲料の並列関係です。イが並列関係です。"
V057	"弓：矢\nア 電卓：計算\nイ 辞書：書籍\nウ 帯：和服"	""	"アだけ"	"イだけ"	"ウだけ"	"アとイ"	"アとウ"	"イとウ"	"アとイとウ"	3	"「弓」と「矢」はセットで使用する関係です。ウが同様です。"
V058	"たんす：家具\n野球：( )"	""	"試合"	"バックネット"	"応援"	"観戦"	"スポーツ"	""	""	5	"野球はスポーツの一種です。"
V059	"ストップウォッチ：計測\nトランペット：( )"	""	"楽器"	"演奏"	"発表"	"芸術"	"音楽"	""	""	2	"ストップウォッチで計測するように、トランペットで演奏します。"
V060	"牛乳：バター\nぶどう：( )"	""	"デザート"	"果物"	"ワイン"	"栽培"	"桃"	""	""	3	"牛乳からバターができるように、ぶどうからワインができます。"
V061	"教師：授業\n医師：( )"	""	"免許"	"学会"	"研究"	"診療"	"病院"	""	""	4	"教師が授業を行うように、医師は診療を行います。"
